Distribuído: True | world_size=4 | device=cuda:0
Construindo modelo...
Hierarquia: 3 estágio(s), 2 módulo(s) de roteamento
Parâmetros: 874.3M
Métricas em checkpoints/train_pt/hnet_2stage_L.metrics.txt
passo     10 | lm 5.5641 | ppl 260.89 | bpb 8.0273 | bpic 0.00 | ratio_loss 0.0000 | lb 2.4800 | lr 2.70e-06 | 74.18s/step | 442 tok/s
passo     20 | lm 4.4952 | ppl 89.59 | bpb 6.4852 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3904 | lr 5.70e-06 | 2.49s/step | 13,145 tok/s
passo     30 | lm 3.6184 | ppl 37.28 | bpb 5.2203 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0850 | lr 8.70e-06 | 2.69s/step | 12,163 tok/s
passo     40 | lm 3.3778 | ppl 29.31 | bpb 4.8731 | bpic 0.00 | ratio_loss 0.0000 | lb 1.8829 | lr 1.17e-05 | 2.03s/step | 16,159 tok/s
passo     50 | lm 3.1495 | ppl 23.32 | bpb 4.5437 | bpic 0.00 | ratio_loss 0.0000 | lb 1.8725 | lr 1.47e-05 | 1.92s/step | 17,023 tok/s
passo     60 | lm 2.9937 | ppl 19.96 | bpb 4.3190 | bpic 0.00 | ratio_loss 0.0000 | lb 2.0220 | lr 1.77e-05 | 2.05s/step | 15,997 tok/s
passo     70 | lm 2.7974 | ppl 16.40 | bpb 4.0358 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1768 | lr 2.07e-05 | 2.25s/step | 14,565 tok/s
passo     80 | lm 2.6839 | ppl 14.64 | bpb 3.8721 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2491 | lr 2.37e-05 | 2.40s/step | 13,648 tok/s
passo     90 | lm 2.6341 | ppl 13.93 | bpb 3.8002 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2644 | lr 2.67e-05 | 2.42s/step | 13,567 tok/s
passo    100 | lm 2.5213 | ppl 12.44 | bpb 3.6374 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2838 | lr 2.97e-05 | 2.43s/step | 13,474 tok/s
passo    110 | lm 2.3921 | ppl 10.94 | bpb 3.4510 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3101 | lr 3.27e-05 | 2.46s/step | 13,297 tok/s
passo    120 | lm 2.4478 | ppl 11.56 | bpb 3.5315 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2860 | lr 3.57e-05 | 2.44s/step | 13,453 tok/s
passo    130 | lm 2.3129 | ppl 10.10 | bpb 3.3369 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3169 | lr 3.87e-05 | 2.46s/step | 13,312 tok/s
passo    140 | lm 2.2540 | ppl 9.53 | bpb 3.2518 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3033 | lr 4.17e-05 | 2.45s/step | 13,363 tok/s
passo    150 | lm 2.1861 | ppl 8.90 | bpb 3.1539 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2833 | lr 4.47e-05 | 2.43s/step | 13,500 tok/s
passo    160 | lm 2.1288 | ppl 8.40 | bpb 3.0712 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3139 | lr 4.77e-05 | 2.45s/step | 13,365 tok/s
passo    170 | lm 2.1491 | ppl 8.58 | bpb 3.1005 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3247 | lr 5.07e-05 | 2.46s/step | 13,338 tok/s
passo    180 | lm 2.0351 | ppl 7.65 | bpb 2.9360 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3120 | lr 5.37e-05 | 2.45s/step | 13,380 tok/s
passo    190 | lm 2.0425 | ppl 7.71 | bpb 2.9468 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3284 | lr 5.67e-05 | 2.47s/step | 13,283 tok/s
passo    200 | lm 2.0434 | ppl 7.72 | bpb 2.9480 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3285 | lr 5.97e-05 | 2.46s/step | 13,298 tok/s
passo    210 | lm 1.9721 | ppl 7.19 | bpb 2.8451 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3306 | lr 6.27e-05 | 2.47s/step | 13,289 tok/s
passo    220 | lm 1.9103 | ppl 6.76 | bpb 2.7560 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3077 | lr 6.57e-05 | 2.44s/step | 13,402 tok/s
passo    230 | lm 1.9406 | ppl 6.96 | bpb 2.7996 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2986 | lr 6.87e-05 | 2.44s/step | 13,402 tok/s
passo    240 | lm 1.8852 | ppl 6.59 | bpb 2.7197 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2817 | lr 7.17e-05 | 2.43s/step | 13,504 tok/s
passo    250 | lm 1.8014 | ppl 6.06 | bpb 2.5989 | bpic 0.00 | ratio_loss 0.0000 | lb 2.3047 | lr 7.47e-05 | 2.45s/step | 13,373 tok/s
passo    260 | lm 1.8356 | ppl 6.27 | bpb 2.6483 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2861 | lr 7.77e-05 | 2.43s/step | 13,488 tok/s
passo    270 | lm 1.8091 | ppl 6.10 | bpb 2.6100 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2548 | lr 8.07e-05 | 2.41s/step | 13,595 tok/s
passo    280 | lm 1.7470 | ppl 5.74 | bpb 2.5204 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2367 | lr 8.37e-05 | 2.39s/step | 13,708 tok/s
passo    290 | lm 1.7281 | ppl 5.63 | bpb 2.4932 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2314 | lr 8.67e-05 | 2.38s/step | 13,754 tok/s
passo    300 | lm 1.6930 | ppl 5.44 | bpb 2.4425 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2193 | lr 8.97e-05 | 2.38s/step | 13,784 tok/s
passo    310 | lm 1.6494 | ppl 5.20 | bpb 2.3796 | bpic 0.00 | ratio_loss 0.0000 | lb 2.2326 | lr 9.27e-05 | 2.40s/step | 13,663 tok/s
passo    320 | lm 1.6428 | ppl 5.17 | bpb 2.3700 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1960 | lr 9.57e-05 | 2.36s/step | 13,914 tok/s
passo    330 | lm 1.6812 | ppl 5.37 | bpb 2.4254 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1942 | lr 9.87e-05 | 2.36s/step | 13,883 tok/s
passo    340 | lm 1.6814 | ppl 5.37 | bpb 2.4258 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1898 | lr 1.02e-04 | 2.34s/step | 14,026 tok/s
passo    350 | lm 1.6040 | ppl 4.97 | bpb 2.3140 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1820 | lr 1.05e-04 | 2.39s/step | 13,701 tok/s
passo    360 | lm 1.6308 | ppl 5.11 | bpb 2.3527 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1801 | lr 1.08e-04 | 2.32s/step | 14,118 tok/s
passo    370 | lm 1.5881 | ppl 4.89 | bpb 2.2912 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1783 | lr 1.11e-04 | 2.33s/step | 14,084 tok/s
passo    380 | lm 1.5940 | ppl 4.92 | bpb 2.2997 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1658 | lr 1.14e-04 | 2.35s/step | 13,925 tok/s
passo    390 | lm 1.5268 | ppl 4.60 | bpb 2.2028 | bpic 0.00 | ratio_loss 0.0000 | lb 2.1271 | lr 1.17e-04 | 2.27s/step | 14,438 tok/s
